AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
13029,3778,5.0,40.0
29450,1008,5.0,5.0
953275,12653,5.0,30.0
1728,134,5.0,60.0
60901,2312,5.0,5.0
156653,4648,5.0,25.0
10404,711,4.5,185.0
134663,5651,5.0,165.0
3288,3929,5.0,210.0
1129191,11294,4.5,60.0
88378,6109,5.0,60.0
144049,4608,4.0,72.0
232385,6037,5.0,150.0
25483,1181,4.5,35.0
35288,1029,5.0,45.0
385678,9137,5.0,25.0
1678,61,5.0,30.0
192957,6708,5.0,70.0
89831,9592,5.0,124.0
141293,5030,5.0,30.0
394557,12240,5.0,35.0
851365,10644,4.5,5.0
52074,3061,5.0,20.0
217867,8958,4.0,45.0
101604,3616,5.0,63.0
52448,3360,5.0,10.0
245034,7953,5.0,310.0
28604,5982,5.0,40.0
111075,4297,5.0,80.0
430471,9653,5.0,30.0
78808,5091,5.0,70.0
282793,10006,4.5,44.0
24670,2699,5.0,80.0
27395,878,5.0,35.0
132787,4188,4.5,45.0
92261,3303,5.0,30.0
402057,8063,5.0,55.0
23955,2273,5.0,15.0
116195,4047,5.0,90.0
58104,7156,4.5,5.0
18745,947,5.0,25.0
1762,67,5.0,70.0
475634,9717,5.0,20.0
29229,1199,5.0,120.0
284180,7879,5.0,185.0
89831,11128,5.0,5.0
54187,5306,5.0,50.0
181661,6871,5.0,170.0
240552,9599,5.0,30.0
199848,6694,5.0,490.0
233464,6065,4.0,15.0
107583,8366,4.5,25.0
60260,2482,5.0,135.0
2355251,13196,5.0,35.0
20325,2187,4.5,77.0
1634,129,5.0,20.0
199792,10022,5.0,70.0
3288,3352,4.5,60.0
42189,3817,4.5,105.0
683464,12009,4.0,5.0
76074,4845,5.0,50.0
58104,4027,5.0,15.0
175290,11013,5.0,70.0
246367,6324,5.0,205.0
293349,7742,5.0,33.0
233464,6065,4.0,15.0
593927,12422,5.0,120.0
434380,8344,5.0,45.0
239758,9813,4.5,105.0
64667,10438,5.0,315.0
13933,2316,5.0,260.0
24670,2699,5.0,80.0
128473,4294,5.0,80.0
242729,10098,5.0,3.0
233464,6065,4.0,15.0
60575,4131,5.0,75.0
286502,8878,5.0,65.0
27416,6961,5.0,30.0
5624,195,5.0,30.0
180567,5167,5.0,75.0
27643,2074,4.5,490.0
70045,4238,5.0,135.0
67656,6158,5.0,42.0
7503,203,5.0,70.0
407338,9247,5.0,60.0
29196,5125,4.5,95.0
1072593,13207,5.0,26.0
1136781,12113,5.0,50.0
249893,7867,5.0,27.0
604084,12767,5.0,35.0
2586,2032,5.0,138.0
67103,2697,4.5,40.0
867691,11822,4.0,15.0
445122,8444,5.0,35.0
622766,10334,4.5,20.0
89831,9344,5.0,35.0
5075,1795,4.5,30.0
29667,6861,5.0,30.0
1802973346,13412,1.0,4.0
225837,7673,5.0,60.0
240552,9651,5.0,20.0
139350,5170,5.0,20.0
114956,10110,4.5,20.0
566011,10072,5.0,1490.0
